time_sec,mass_m,mass_c
0.0,50.0,25.0
2.3449118623172116,50.0,25.0
4.673173941416346,50.0,25.0
6.9915307950403935,50.0,25.000000000000004
9.30419350065787,50.00000000000001,25.0
11.385635869032896,50.0,25.000000000000004
13.694024176958992,50.0,25.0
16.002105920408997,50.0,25.000000000000004
18.31062866211676,50.0,25.0
20.461965296250238,50.0,25.000000000000004
22.772577450600792,50.00000000000001,25.000000000000004
25.084646392602806,50.0,25.0
27.398320323726576,50.0,25.000000000000004
29.71369942783675,50.0,25.000000000000004
31.853753835871473,50.0,25.0
34.17257621720037,50.0,25.0
36.493231334421985,50.0,25.0
38.815728492481945,50.0,25.000000000000004
40.92988838730386,50.0,25.000000000000007
43.25588614452262,50.0,25.0
45.58369122238656,50.0,25.0
47.91327631686488,50.0,25.0
50.233209552554364,50.0,25.000000000000004
52.56623739473384,50.0,25.000000000000004
54.9009259956917,50.00000000000001,25.000000000000007
57.237226130917236,50.0,25.000000000000004
59.57508385716751,50.0,25.000000000000004
61.87158326669722,50.0,25.000000000000004
64.21235543435927,50.0,25.000000000000007
66.55450419081166,50.0,25.000000000000004
68.89796243968242,50.0,25.0
71.17248117141092,50.0,25.0
73.51830965212119,50.0,25.000000000000004
75.86522841605293,50.0,25.000000000000004
78.21315671576615,50.0,25.0
80.46983363041731,50.0,25.0
82.81948968580488,50.00000000000001,25.000000000000004
85.16988913583103,50.0,25.0
87.52093079797683,50.0,25.0
89.87250605730188,50.0,25.0
92.11679497381222,50.0,25.0
94.46906627433144,50.0,25.000000000000004
96.82149596793101,50.0,25.0
99.17393682481459,50.0,25.000000000000004
101.41136103765885,50.0,25.000000000000004
103.76338899179065,50.0,25.000000000000004
106.11501163247097,50.0,25.000000000000004
108.46614144243989,50.0,25.0
110.70512515091747,50.0,25.000000000000004
113.05517376880286,50.0,25.000000000000004
115.40465640033872,50.0,25.000000000000004
117.75358535960171,50.0,25.000000000000004
120.00000001200002,50.0,25.000000000000007
122.3479131599397,50.0,25.0
124.69535215564792,50.0,25.000000000000004
127.0423510807699,50.0,25.0
129.38894629187732,50.0,25.000000000000004
131.64233282049872,50.0,25.0
133.9882451151417,50.00000000000001,25.000000000000004
136.33386512737994,50.0,25.0
138.67923044067666,50.0,25.000000000000004
140.93803829864913,50.0,25.0
143.28301163078987,50.0,25.000000000000004
145.62783886090608,49.99999999999999,25.000000000000004
147.97255468462143,50.0,25.0
150.23446158812533,50.0,25.0
152.57905645171323,50.0,25.000000000000004
154.92363711417846,49.99999999999999,25.0
157.2682337813749,50.0,25.000000000000004
159.61287512858183,50.0,25.000000000000004
161.87577509987685,50.0,25.000000000000007
164.22058307610538,49.99999999999999,25.000000000000007
166.56551309686603,50.0,25.0
168.91058784954905,50.0,25.000000000000004
171.17263937566207,50.0,25.000000000000004
173.5180598901674,50.0,25.000000000000004
175.86368429684765,50.0,25.000000000000004
178.2095292714381,50.0,25.000000000000004
180.4692338777865,50.0,25.000000000000004
182.81555463946506,50.0,25.000000000000004
185.16213630652828,50.0,25.0
187.50898920868693,50.0,25.0
189.8561216123023,50.0,25.000000000000004
192.11268022465782,50.0,25.0
194.46038052668302,49.99999999999999,25.0
196.80837654055176,50.0,25.0
199.15667052594432,50.0,25.000000000000004
201.40918405173431,49.99999999999999,25.0
203.75806193025414,50.0,25.0
206.10723457664204,50.0,25.0
208.45669757147638,50.0,25.000000000000004
210.7049500866495,50.00000000000001,25.000000000000004
213.0549626672416,49.99999999999999,25.0
215.40524333717835,49.99999999999999,25.000000000000004
217.75578147971754,50.0,25.0
220.0000000219999,50.0,25.0
222.35100541847956,49.99999999999999,25.0
224.70222878106026,50.0,25.000000000000004
227.05365416336704,50.0,25.0
229.40526471359368,50.0,25.000000000000007
231.64625614676535,50.0,25.0
233.99817665520177,50.0,25.000000000000004
236.35022815698784,50.0,25.0
238.7023915455648,50.0,25.000000000000004
240.9409110112991,49.99999999999999,25.0
243.29323843831577,50.0,25.0
245.64562249533978,50.0,25.0
247.99804541794904,50.0,25.000000000000004
250.23524504025698,50.0,25.0
252.58769623413465,50.0,25.0
254.9401395497429,50.0,25.0
257.2925613927709,50.0,25.0
259.64494933132414,50.0,25.0
261.88187264589897,50.0,25.0
264.23416440267766,49.99999999999999,25.000000000000004
266.58639375156685,50.0,25.0
268.93855371008897,50.0,25.0
271.17603466777496,50.0,25.0
273.52804363570004,50.0,25.000000000000004
275.8799695887932,50.0,25.0
278.23180981286856,50.0,25.0
280.4703444558907,50.0,25.0
282.8220143818361,50.0,25.0
285.17359683314163,50.0,25.0
287.5250929130078,50.0,25.000000000000004
289.8765041517306,50.0,25.0
292.1161958030843,50.0,25.0
294.46744862797163,50.0,25.0
296.81862468070057,50.0,25.0
299.1697276059435,50.0,25.000000000000004
301.4106140795088,50.0,25.0
303.7615859309116,50.0,25.0
306.1124969984463,50.0,25.0
308.46335178160865,50.0,25.0
310.70523654260927,50.0,25.000000000000004
313.05599516794956,49.99999999999999,25.0
315.4067115743672,50.0,25.0
317.75739058434147,50.0,25.0
320.0000000319998,50.0,25.0
322.3506197409569,50.0,25.0
324.701216067518,50.0,25.000000000000004
327.05179337852024,50.0,25.000000000000004
329.4023559781975,50.0,25.0
331.6453859516213,50.0,25.0
333.99593212099217,50.0,25.000000000000004
336.34647552005185,50.0,25.0
338.6970197316939,50.0,25.0
340.9402200561123,50.0,25.0
343.29077579968583,50.0,25.0
345.6413418445835,50.0,25.000000000000004
347.9919209500689,50.0,25.0
350.23506017441696,50.0,25.0
352.5856718228222,50.0,25.0
354.93630322228745,50.0,25.000000000000004
357.2869560366079,50.0,25.0
359.63763170983214,50.0,25.0
361.880561120363,50.0,25.0
364.23128523696124,50.0,25.0
366.58203537760005,50.0,25.0
368.9328121552255,50.0,25.0
371.1754047022536,50.0,25.0
373.52623465195194,50.0,25.0
375.8770918461537,50.0,25.000000000000004
378.22797598201805,50.0,25.0
380.4701840937758,50.0,25.0
382.8211200670925,50.0,25.000000000000004
385.1720817900983,50.0,25.0
387.523068339187,50.0,25.000000000000004
389.874078682832,50.0,25.0
392.1159302902165,50.0,25.0
394.4669847658895,50.0,25.000000000000004
396.81806013983413,50.0,25.000000000000004
399.16915504488003,50.0,25.000000000000004
401.4106697357098,50.0,25.0
403.7617993636757,50.0,25.0
406.11294492292507,50.0,25.0
408.46410496573117,50.0,25.000000000000004
410.7053531568553,50.0,25.000000000000004
413.0565377296587,50.0,25.000000000000004
415.40773292607935,50.0,25.000000000000004
417.7589375047173,50.0,25.0
420.00000004199967,50.0,25.0
422.3512193446367,50.0,25.0
424.7024444069464,50.0,25.000000000000004
427.0536742872552,50.0,25.0
429.4049077871247,50.0,25.000000000000004
431.64586559852444,50.0,25.0
433.9971036663578,50.0,25.000000000000004
436.34834276836557,50.0,25.0
438.699582155318,50.0,25.0
440.9404955404331,50.0,25.0
443.29173363455595,50.0,25.0
445.64297010845485,50.0,25.0
447.99420462233655,50.0,25.0
450.23512310185623,49.99999999999999,25.0
452.58635269898923,49.99999999999999,25.0
454.9375793292733,50.0,25.0
457.2888026823554,50.0,25.000000000000004
459.64002273100607,50.0,25.0
461.88097324443805,50.0,25.000000000000004
464.23218685247724,49.99999999999999,25.0
466.5833970270414,49.99999999999999,25.0
468.9346037765068,50.0,25.0
471.17560152747,50.0,25.000000000000004
473.5268024243676,50.0,25.000000000000004
475.87800054084164,50.0,25.0
478.2291959575982,50.0,25.000000000000004
480.4702385822114,49.99999999999999,25.0
482.82142969358836,50.0,25.000000000000007
485.1726191782209,50.0,25.0
487.52380722247466,50.0,25.000000000000004
489.87499402964994,50.0,25.0
492.11606764919713,50.0,25.000000000000004
494.4672534169993,50.0,25.0
496.81843915869416,50.0,25.0
499.16962514510834,50.0,25.000000000000004
